layer_no,name,E,rho,x,alpha
1,case,70000000000.0,2700.0,0.0001,0.7
2,aluminum,70000000000.0,2700.0,1e-05,0.7
3,cathode,200999999999.99997,3316.4999999999995,5e-05,0.5
4,separator,2000000000.0,920.0,2e-05,1.1
5,electrolyte,2000000000.0,1000.0,5e-05,1.2
6,anode,9750000000.0,2203.5,6e-05,0.6
7,copper,130000000000.0,8960.0,1e-05,0.5
8,copper,130000000000.0,8960.0,1e-05,0.5
9,anode,9750000000.0,2203.5,6e-05,0.6
10,electrolyte,2000000000.0,1000.0,5e-05,1.2
11,separator,2000000000.0,920.0,2e-05,1.1
12,cathode,200999999999.99997,3316.4999999999995,5e-05,0.5
13,aluminum,70000000000.0,2700.0,1e-05,0.7
14,case,70000000000.0,2700.0,0.0001,0.7
